HUC6 Basin,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),Volume Change since 2025-04-29 (af)
Rio Grande Headwaters,Rio Grande Headwaters,0.590544,1.7992822,132309.22,-32077.111
Rio Grande Headwaters,Alamosa-Trinchera,0.31495684,0.5347514,72302.58,59818.555
Rio Grande Headwaters,San Luis,0.0,0.27833816,23459.324,8512.385
Rio Grande Headwaters,Saguache,0.196848,0.3728812,26751.592,12650.215
Rio Grande Headwaters,Conejos,1.0629792,1.6270984,66541.73,25302.863
Rio Grande Headwaters,Total,0.3543264,0.7921923,321364.44,74206.89
Upper Rio Grande,Upper Rio Grande,0.15747842,0.8303381,144173.88,106760.73
Upper Rio Grande,Rio Chama,0.07873921,0.58901703,99131.195,74012.36
Upper Rio Grande,Total,0.11810881,0.71155953,243305.05,180773.06
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,0.0,0.023936586,2391.575,2391.575
Rio Grande-Elephant Butte,Jemez,0.0,0.15396325,8522.113,8522.113
Rio Grande-Elephant Butte,Rio Grande-Albuquerque,0.0,0.00017028784,29.185324,29.185324
Rio Grande-Elephant Butte,Arroyo Chico,0.0,9.916777e-05,7.296332,7.296332
Rio Grande-Elephant Butte,North Plains,0.0,6.293096e-05,4.053518,4.053518
Rio Grande-Elephant Butte,Rio San Jose,0.0,0.0018644455,258.61444,258.61444
Rio Grande-Elephant Butte,Plains of San Agustin,0.0,0.0015994617,170.24774,170.24774
Rio Grande-Elephant Butte,Rio Salado,0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Jornada Del Muerto,0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Elephant Butte Reservoir,0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Puerco,0.0,0.017817268,2003.248,2003.248
Rio Grande-Elephant Butte,Total,0.0,0.01211282,13386.334,13386.334
