OSE Grouping,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),Volume Change since 2025-04-29 (af)
Upper Rio Grande,Rio Grande Headwaters,0.590544,1.7992822,132309.22,-32077.111
Upper Rio Grande,Saguache,0.196848,0.3728812,26751.592,12650.215
Upper Rio Grande,Conejos,1.0629792,1.6270984,66541.73,25302.863
Upper Rio Grande,Total,0.5118048,1.2117877,225602.55,5875.997
Sangre de Cristo,San Luis,0.0,0.27833816,23459.324,8512.385
Sangre de Cristo,Alamosa-Trinchera,0.31495684,0.5347514,72302.58,59818.555
Sangre de Cristo,Upper Rio Grande,0.15747842,0.8303381,144173.88,106760.73
Sangre de Cristo,Total,0.07873921,0.6103309,239935.78,175091.67
Rio Chama,Total,0.07873921,0.58901703,99131.195,74012.36
Jemez,Total,0.0,0.15396325,8522.113,8522.113
