HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),Volume Change since 2025-04-29 (af)
Rio Grande Headwaters,Rio Grande Headwaters,7000-8000',0.0,0.024371661245822906,10.539145657072877,10.539145
Rio Grande Headwaters,Rio Grande Headwaters,8000-9000',0.11810880899429321,0.13206146657466888,1204.7052673252863,1204.7053
Rio Grande Headwaters,Rio Grande Headwaters,9000-10000',0.35432639718055725,0.3697319030761719,5253.35789874708,4504.268
Rio Grande Headwaters,Rio Grande Headwaters,10000-11000',0.5511744022369385,1.3735036849975586,29895.499914248718,-894.2036
Rio Grande Headwaters,Rio Grande Headwaters,11000-12000',3.1889376640319824,3.358304738998413,73511.34200527934,-26461.373
Rio Grande Headwaters,Rio Grande Headwaters,12000-13000',3.5826337337493896,3.692760467529297,22128.149571122936,-10311.336
Rio Grande Headwaters,Rio Grande Headwaters,13000-14000',2.8936657905578613,2.4737234115600586,305.63520318955506,-129.71252
Rio Grande Headwaters,Alamosa-Trinchera,7000-8000',0.0,0.02620152197778225,1577.628979941141,1577.629
Rio Grande Headwaters,Alamosa-Trinchera,8000-9000',0.5118048191070557,0.5368331670761108,17388.77794961171,17388.777
Rio Grande Headwaters,Alamosa-Trinchera,9000-10000',0.9448704719543457,0.9050571322441101,18189.75271024803,18168.674
Rio Grande Headwaters,Alamosa-Trinchera,10000-11000',0.9842400550842285,1.0948114395141602,13188.522867799216,11440.646
Rio Grande Headwaters,Alamosa-Trinchera,11000-12000',1.4763600826263428,2.039992094039917,17391.209940902707,8356.73
Rio Grande Headwaters,Alamosa-Trinchera,12000-13000',2.2243824005126953,2.3844854831695557,4419.144352746651,2741.799
Rio Grande Headwaters,Alamosa-Trinchera,13000-14000',1.7913168668746948,1.7913168668746948,147.5480220156193,144.3052
Rio Grande Headwaters,San Luis,7000-8000',0.0,0.00032082333927974105,17.024773659318818,17.024775
Rio Grande Headwaters,San Luis,8000-9000',0.11810880899429321,0.17584052681922913,1832.1898130573084,1832.1898
Rio Grande Headwaters,San Luis,9000-10000',0.43306562304496765,0.5203728079795837,3889.754835579624,3804.6309
Rio Grande Headwaters,San Luis,10000-11000',0.6692832708358765,0.8792094588279724,5286.5966841111895,3511.967
Rio Grande Headwaters,San Luis,11000-12000',0.8267616033554077,1.5319304466247559,7129.325911623057,294.2854
Rio Grande Headwaters,San Luis,12000-13000',1.1810879707336426,2.0222225189208984,5246.872274426992,-980.14087
Rio Grande Headwaters,San Luis,13000-14000',0.9448704719543457,0.9317472577095032,57.55994529804503,32.428143
Rio Grande Headwaters,Saguache,7000-8000',0.0,0.0004346230416558683,9.728441389676018,9.728441
Rio Grande Headwaters,Saguache,8000-9000',0.11810880899429321,0.1418946087360382,2103.7755278427435,2103.7756
Rio Grande Headwaters,Saguache,9000-10000',0.39369601011276245,0.40885329246520996,6735.323841414225,6405.3677
Rio Grande Headwaters,Saguache,10000-11000',0.5511744022369385,0.6571794748306274,8187.293653771923,5218.4976
Rio Grande Headwaters,Saguache,11000-12000',1.2204575538635254,1.6077080965042114,7481.981616198838,-1007.7041
Rio Grande Headwaters,Saguache,12000-13000',2.204697608947754,2.3919219970703125,2216.463132575247,-96.4737
Rio Grande Headwaters,Saguache,13000-14000',0.8267616033554077,0.8267616033554077,17.024771204547246,17.02477
Rio Grande Headwaters,Conejos,7000-8000',0.0,0.01061786338686943,72.15260983733064,72.15261
Rio Grande Headwaters,Conejos,8000-9000',0.7086527943611145,0.6886813044548035,5842.739048111476,5837.064
Rio Grande Headwaters,Conejos,9000-10000',1.1417183876037598,1.1574065685272217,12560.22828672505,11441.458
Rio Grande Headwaters,Conejos,10000-11000',1.3582513332366943,2.442626953125,23137.47497376576,5815.986
Rio Grande Headwaters,Conejos,11000-12000',5.098362922668457,4.793166160583496,23490.94197052673,1940.8246
Rio Grande Headwaters,Conejos,12000-13000',3.503894329071045,3.675877571105957,1438.187899953856,195.37955
Upper Rio Grande,Upper Rio Grande,5000-6000',0.0,0.0,0.0,0.0
Upper Rio Grande,Upper Rio Grande,6000-7000',0.0,0.0007980325608514249,19.45688400673782,19.456884
Upper Rio Grande,Upper Rio Grande,7000-8000',0.0,0.04166759178042412,2557.769230248944,2557.7693
Upper Rio Grande,Upper Rio Grande,8000-9000',0.5511744022369385,0.5951772332191467,18224.611252085666,18197.047
Upper Rio Grande,Upper Rio Grande,9000-10000',1.3779361248016357,1.4495887756347656,35820.119773019585,35504.758
Upper Rio Grande,Upper Rio Grande,10000-11000',1.8110015392303467,2.1534640789031982,36051.98217785849,30444.348
Upper Rio Grande,Upper Rio Grande,11000-12000',3.307046413421631,5.69019889831543,44643.00461016019,17176.371
Upper Rio Grande,Upper Rio Grande,12000-13000',4.0550689697265625,5.841896057128906,6856.929061757814,2860.972
Upper Rio Grande,Rio Chama,5000-6000',0.0,0.0,0.0,0.0
Upper Rio Grande,Rio Chama,6000-7000',0.0,0.0,0.0,0.0
